company,category,query,verdict,note
삼성전자,검색추출_Closed,2025년 연결기준 매출액은 얼마인가?,PASS,"334조원, 근거 정확"
삼성전자,검색추출_Open,2026년 1분기 분기보고서 기준 주요 투자 계획 정리,PASS,부문별 투자액까지 구체적으로 정리
삼성SDI+LG에너지솔루션,비교연산_Closed,2025년 설비투자 규모 비교,PASS,교차기업 비교 성공(LG엔솔 10.5조 > SDI 3.27조)
삼성SDI,비교연산_Open,2025년 자금조달 내역 유형별 정리,PASS,유상증자+지급보증 둘 다 찾아 정리
한미반도체,복합추론_Closed,계약 체결→해지 여부,PASS,3건 체결→해지 페어를 날짜까지 정확히 매칭
삼성전자,복합추론_Open,"2023 vs 2025 사업보고서 비교, 핵심사업 변화",FAIL,TOC버그(수정완료) 이후에도 top_k=5 retrieval breadth 부족으로 여전히 실패 — 별개 미해결 이슈
삼성SDI,검색추출_Closed,2025년 매출액,PASS,"13,266,731백만원, grounded"
삼성SDI,검색추출_Closed,2025년 부채비율,PASS,"0.7928 — 원문이 raw ratio로 표기(단위 확인함), 정확한 인용"
삼성SDI,복합추론_Closed,2025년 유상증자 결정 기재정정 횟수,PASS,4번 — manifest 대조 검증함(원본1+정정4)
LG에너지솔루션,검색추출_Closed,2025년 영업이익,PASS,"1,346,120백만원"
LG에너지솔루션,검색추출_Open,주요 제품/매출처,PASS,"EV/ESS/소형배터리, 5대매출처 63% — 근거 잘 인용"
한미반도체,비교연산_Closed,2024년 체결 계약 건수(카운팅),FAIL(수정전),"route가 calculation으로 오분류, calculate_cagr 4회 무의미 반복호출 후 포기 — 정답은 5건"
한미반도체,비교연산_Closed,2024년 체결 계약 건수(카운팅) [재검증],PASS,"수정 후 재실행: 5건 정답, calculate_cagr 재호출 없이 search_disclosures 1회로 정확히 답함 — agent_loop.py dedup guard + system prompt 문구 수정 확인됨"
한미반도체,복합추론_Open,해지 이력 시간순 정리,PARTIAL,"6건만 나열, 실제 7건 중 major_20250324000703(2025-03-24 해지) 누락 확인 — 할루시네이션은 아니고 조용한 불완전 (미해결, retrieval breadth 문제로 Q6와 동일 계열)"
삼성SDI+LG에너지솔루션,비교연산_Closed,2025년 매출액 비교,PASS(검증오탐),"정답(삼성SDI가 큼) 맞지만 validator가 '7조 6,615억원' 재표기를 ungrounded로 오탐"
삼성SDI+LG에너지솔루션,비교연산_Closed,2025년 매출액 비교 [재검증],PASS,"수정 후 재실행: ungrounded=set() 확인됨, citation=True — validator.py _APPROX_PAREN_PAT 수정 확인됨. 단 SDI 매출액 수치가 top_k=1 재실행에서 11,455,691백만원(예상치로 추정)으로 이전 실행(13,266,731백만원, 실적치)과 달라짐 — top_k 낮을 때 다른 chunk(예상 vs 실적)가 뽑히는 변동성 별도 관찰, 버그는 아니나 참고"
삼성SDI,복합추론_Closed,2025년 유상증자 결정 기재정정 횟수 [재검증],PASS,"수정 후 재실행: citation=True 확인됨(이전엔 citation=False 오탐) — validator.py has_citation 수정 확인됨"
KB금융(금융보험),검색추출_Closed,2025년 자기주식취득 결정 규모,PASS,"660,000,000,000원 정확, grounded/citation 정상"
알테오젠(바이오제약),검색추출_Open,최근 라이선스 계약 내용 정리,FAIL(실제오류),"ALT-L9 계약금액을 실제 80억원(₩8,000,000,000)인데 800억원으로 10배 과장 — validator가 정확히 탐지(오탐 아님). 다중행 표 요약 시 숫자 오독 확인됨"
HD현대중공업(조선),검색추출_Closed,최근 체결 공급계약 규모,PASS,"823,700,000,000원(컨테이너선 10척) 정확, grounded"
현대자동차(자동차),복합추론_Open,2025~2026 자사주 취득/처분 이력 정리,PASS,"3개 문서(major x2 + periodic) 종합, 날짜/수량/가격 상세하고 grounded"
현대건설(건설),복합추론_Closed,최근 체결 계약 중 해지 여부,PASS,"NEOM 터널 프로젝트 해지 정확히 찾음(발주처 사업재편 사유, 2026-03-12), grounded"
SK텔레콤+KB금융(교차업종),비교연산_Closed,사업보고서 기준 매출액 비교,PASS(비효율),"결과는 정확(KB금융>SK텔레콤)하나 max_iterations(6) 도달 — 금융지주는 '매출액' 대신 '영업수익/영업손익' 용어를 쓰는데 agent가 이 업종별 용어차이에 적응 못하고 동일쿼리 4회 반복"
KB금융(금융보험),검색추출_Open,사업 부문 구성 설명,FAIL(파싱버그),"근거 못 찾음(정직한 실패, 할루시네이션 아님) — 원인 확인: 원문 XML 182개 TITLE 중 3개만 파싱되고 179개(III.재무~XII 전부)가 표 안에 잘못 중첩되어 유실됨. 신규 발견한 파싱버그(#6) 직접 원인"
KB금융(금융보험),복합추론_Closed,자기주식신탁계약 체결 후 해지 여부,PASS,"2025-07-24 체결→2026-01-09 해지, 5,564,253주 정확, manifest 대조 확인, grounded/citation 정상 (rate-limit 재시도 후 성공)"
알테오젠(바이오제약),검색추출_Closed,2025년 매출액,PASS,"215,858,918,957원 정확, grounded"
알테오젠(바이오제약),비교연산_Open,당기 vs 전기 매출액 비교,FAIL(도구오선택),"agent가 search_disclosures 대신 get_latest_report(메타데이터만 반환)를 호출 — 정직한 실패지만 실제로는 같은 문서에 당기/전기 매출액 데이터 존재함(검색만 했으면 찾았을 것)"
HD현대중공업(조선),검색추출_Open,투자판단 관련 주요경영사항,PASS,"군산조선소 자산양수도 MOA 내용 정확, grounded/citation 정상"
HD현대중공업(조선),복합추론_Closed,계약 해지/정정 여부,FAIL(도구오선택),"'정정'이라는 단어 때문에 get_correction_history(기재정정 이력용)만 호출 — 실제로는 이벤트성 계약해지를 묻는 질문인데 search_disclosures를 안 써서 관련 문서를 못 찾음"
현대자동차(자동차),검색추출_Closed,2025년 매출액,FAIL(파싱버그 의심),"근거 못 찾음(정직한 실패) — 원인 확인: 원문 XML 154개 TITLE 중 2개만 파싱되고 152개(II.사업의내용 '매출 및 수주상황' 포함)가 표 안에 잘못 중첩되어 유실됨. 신규 발견한 파싱버그(#6) 직접 원인"
현대자동차(자동차),비교연산_Open,당기 vs 전기 영업이익 비교,PASS(검증오탐),"2,164,043 vs 1,795,249백만원 정확(감사보고서 섹션에서 발견, 파싱버그 영향 안 받은 부분). validator가 답변의 자체 뺄셈 결과(368,794)를 ungrounded로 표시했으나 직접 검산 결과 정확한 계산 — 오탐"
현대건설(건설),검색추출_Closed,2025년 매출액,PASS,"31,062,912백만원 정확, grounded"
현대건설(건설),비교연산_Open,최근 체결 두 공급계약 규모 비교,PASS,"2조7488억5000만원 vs 1조9648억1012만원, 비교 방향 정확, grounded"
SK텔레콤(통신),검색추출_Closed,2025년 영업이익,PASS,"1조732억원 정확, grounded"
SK텔레콤(통신),복합추론_Open,최근 처분 자기주식 이력,PASS,"4~5건의 처분 이력을 날짜/수량/목적별로 상세히 종합, grounded/citation 정상"
KB금융(금융보험),검색추출_Open,사업 부문 구성 설명 [재검증],PASS,"파싱버그 수정 후 재실행: 위탁/자산관리·기업금융·자산운용·기타사업 4개 부문 정확히 설명, periodic_20260313001191::main 등 5개 근거 인용됨(수정 전엔 근거 자체를 못 찾음) — dart_xml_parser.py _escape_bare_special_chars 수정 확인됨"
